 freq            v(vout_RF_filt_spec_db)
 4.73520060e+07 -7.23896897e+01 
 4.74766165e+07 -7.51547255e+01 
 4.76012271e+07 -7.61978167e+01 
 4.77258376e+07 -9.24400677e+01 
 4.78504481e+07 -8.50211138e+01 
 4.79750587e+07 -7.67377819e+01 
 4.80996692e+07 -7.34627406e+01 
 4.82242798e+07 -7.62377461e+01 
 4.83488903e+07 -7.31552280e+01 
 4.84735009e+07 -7.78400944e+01 
 4.85981114e+07 -7.68024382e+01 
 4.87227219e+07 -8.52624456e+01 
 4.88473325e+07 -8.37967026e+01 
 4.89719430e+07 -7.54968581e+01 
 4.90965536e+07 -7.56033953e+01 
 4.92211641e+07 -7.79968634e+01 
 4.93457747e+07 -7.69448441e+01 
 4.94703852e+07 -7.99152356e+01 
 4.95949957e+07 -7.90702226e+01 
 4.97196063e+07 -8.32486339e+01 
 4.98442168e+07 -7.89778985e+01 
 4.99688274e+07 -8.50502056e+01 
 5.00934379e+07 -9.30277023e+01 
 5.02180484e+07 -8.09370517e+01 
 5.03426590e+07 -7.58102081e+01 
 5.04672695e+07 -7.27261564e+01 
 5.05918801e+07 -7.81252901e+01 
 5.07164906e+07 -7.52875541e+01 
 5.08411012e+07 -7.46054580e+01 
 5.09657117e+07 -8.01026057e+01 
 5.10903222e+07 -7.34807913e+01 
 5.12149328e+07 -7.82681541e+01 
 5.13395433e+07 -8.25249316e+01 
 5.14641539e+07 -7.34119628e+01 
 5.15887644e+07 -7.18541059e+01 
 5.17133750e+07 -7.79489748e+01 
 5.18379855e+07 -8.45093225e+01 
 5.19625960e+07 -7.77878983e+01 
 5.20872066e+07 -7.34270896e+01 
 5.22118171e+07 -7.56486794e+01 
 5.23364277e+07 -7.54453475e+01 
 5.24610382e+07 -7.22859500e+01 
 5.25856487e+07 -7.16619972e+01 
 5.27102593e+07 -7.72533093e+01 
 5.28348698e+07 -7.07599554e+01 
 5.29594804e+07 -7.32057216e+01 
 5.30840909e+07 -7.66866768e+01 
 5.32087015e+07 -8.14933116e+01 
 5.33333120e+07 -8.92465861e+01 
 5.34579225e+07 -8.72774285e+01 
 5.35825331e+07 -8.37503778e+01 
 5.37071436e+07 -7.49976905e+01 
 5.38317542e+07 -7.88741810e+01 
 5.39563647e+07 -6.93553310e+01 
 5.40809753e+07 -6.82237164e+01 
 5.42055858e+07 -7.04342887e+01 
 5.43301963e+07 -6.65159849e+01 
 5.44548069e+07 -7.36425707e+01 
 5.45794174e+07 -6.85033213e+01 
 5.47040280e+07 -7.64954586e+01 
 5.48286385e+07 -8.06239869e+01 
 5.49532490e+07 -7.46733877e+01 
 5.50778596e+07 -7.95243898e+01 
 5.52024701e+07 -7.09884260e+01 
 5.53270807e+07 -6.85886487e+01 
 5.54516912e+07 -7.09858557e+01 
 5.55763018e+07 -7.57139598e+01 
 5.57009123e+07 -8.33659639e+01 
 5.58255228e+07 -8.30965539e+01 
 5.59501334e+07 -7.42576367e+01 
 5.60747439e+07 -7.03563881e+01 
 5.61993545e+07 -7.15525097e+01 
 5.63239650e+07 -7.39447948e+01 
 5.64485756e+07 -7.26067829e+01 
 5.65731861e+07 -6.99486896e+01 
 5.66977966e+07 -7.05939734e+01 
 5.68224072e+07 -7.04862128e+01 
 5.69470177e+07 -7.34349858e+01 
 5.70716283e+07 -8.05298331e+01 
 5.71962388e+07 -8.20332501e+01 
 5.73208493e+07 -7.37263891e+01 
 5.74454599e+07 -7.14375848e+01 
 5.75700704e+07 -7.09857813e+01 
 5.76946810e+07 -7.08020445e+01 
 5.78192915e+07 -6.87841577e+01 
 5.79439021e+07 -6.57624577e+01 
 5.80685126e+07 -6.68445556e+01 
 5.81931231e+07 -7.53716747e+01 
 5.83177337e+07 -7.96033922e+01 
 5.84423442e+07 -8.11511668e+01 
 5.85669548e+07 -8.14916675e+01 
 5.86915653e+07 -8.50557949e+01 
 5.88161759e+07 -8.27108691e+01 
 5.89407864e+07 -7.47130293e+01 
 5.90653969e+07 -7.38777497e+01 
 5.91900075e+07 -7.35174364e+01 
 5.93146180e+07 -7.19984708e+01 
 5.94392286e+07 -7.22516903e+01 
 5.95638391e+07 -7.79429164e+01 
 5.96884496e+07 -7.88621937e+01 
 5.98130602e+07 -7.54603706e+01 
 5.99376707e+07 -7.61013231e+01 
 6.00622813e+07 -7.33102681e+01 
 6.01868918e+07 -7.68728969e+01 
 6.03115024e+07 -8.80618280e+01 
 6.04361129e+07 -7.46180637e+01 
 6.05607234e+07 -7.54073570e+01 
 6.06853340e+07 -7.85122931e+01 
 6.08099445e+07 -7.35152248e+01 
 6.09345551e+07 -7.13001043e+01 
 6.10591656e+07 -7.24894653e+01 
 6.11837761e+07 -7.51563855e+01 
 6.13083867e+07 -7.37647175e+01 
 6.14329972e+07 -7.15854787e+01 
 6.15576078e+07 -7.20047691e+01 
 6.16822183e+07 -7.76739059e+01 
 6.18068289e+07 -8.35217291e+01 
 6.19314394e+07 -9.87075573e+01 
 6.20560499e+07 -9.30724800e+01 
 6.21806605e+07 -7.82919024e+01 
 6.23052710e+07 -7.60821434e+01 
 6.24298816e+07 -8.05500659e+01 
 6.25544921e+07 -8.04843909e+01 
 6.26791027e+07 -8.36385084e+01 
 6.28037132e+07 -8.20458693e+01 
 6.29283237e+07 -8.89267131e+01 
 6.30529343e+07 -8.24810650e+01 
 6.31775448e+07 -7.56945337e+01 
 6.33021554e+07 -7.73295972e+01 
 6.34267659e+07 -7.89983683e+01 
 6.35513764e+07 -7.95436511e+01 
 6.36759870e+07 -8.21975261e+01 
 6.38005975e+07 -8.06130661e+01 
 6.39252081e+07 -7.11725152e+01 
 6.40498186e+07 -6.97147623e+01 
 6.41744292e+07 -7.48392933e+01 
 6.42990397e+07 -7.79195742e+01 
 6.44236502e+07 -7.08659468e+01 
 6.45482608e+07 -7.28600496e+01 
 6.46728713e+07 -7.26449722e+01 
 6.47974819e+07 -6.96809316e+01 
 6.49220924e+07 -7.20649157e+01 
 6.50467030e+07 -7.11505549e+01 
 6.51713135e+07 -7.63665515e+01 
 6.52959240e+07 -7.87704246e+01 
 6.54205346e+07 -6.97498132e+01 
 6.55451451e+07 -6.85794044e+01 
 6.56697557e+07 -7.50517259e+01 
 6.57943662e+07 -7.63594329e+01 
 6.59189767e+07 -7.45066988e+01 
 6.60435873e+07 -8.58525745e+01 
 6.61681978e+07 -6.95234880e+01 
 6.62928084e+07 -7.00215054e+01 
 6.64174189e+07 -7.87757864e+01 
 6.65420295e+07 -8.34095108e+01 
 6.66666400e+07 -8.00311375e+01 
 6.67912505e+07 -7.72677713e+01 
 6.69158611e+07 -8.14499572e+01 
 6.70404716e+07 -7.48364702e+01 
 6.71650822e+07 -7.37332912e+01 
 6.72896927e+07 -7.73418957e+01 
 6.74143033e+07 -7.74546802e+01 
 6.75389138e+07 -7.65093661e+01 
 6.76635243e+07 -7.21405295e+01 
 6.77881349e+07 -7.42978931e+01 
 6.79127454e+07 -8.42597756e+01 
 6.80373560e+07 -8.05693977e+01 
 6.81619665e+07 -8.04625049e+01 
 6.82865770e+07 -7.86062290e+01 
 6.84111876e+07 -7.23660060e+01 
 6.85357981e+07 -7.55098532e+01 
 6.86604087e+07 -7.07032436e+01 
 6.87850192e+07 -7.22967691e+01 
 6.89096298e+07 -9.18055331e+01 
 6.90342403e+07 -8.52659495e+01 
 6.91588508e+07 -8.48430421e+01 
 6.92834614e+07 -7.96962371e+01 
 6.94080719e+07 -7.88485277e+01 
 6.95326825e+07 -7.74154490e+01 
 6.96572930e+07 -7.93786121e+01 
 6.97819036e+07 -8.82861294e+01 
 6.99065141e+07 -7.55773648e+01 
 7.00311246e+07 -7.59222723e+01 
 7.01557352e+07 -7.91225087e+01 
 7.02803457e+07 -8.75589931e+01 
 7.04049563e+07 -8.39829921e+01 
 7.05295668e+07 -8.15134395e+01 
 7.06541773e+07 -7.90722835e+01 
 7.07787879e+07 -8.07447075e+01 
 7.09033984e+07 -8.16520295e+01 
 7.10280090e+07 -8.03541371e+01 
 7.11526195e+07 -7.72433203e+01 
 7.12772301e+07 -7.27223131e+01 
 7.14018406e+07 -7.42452316e+01 
 7.15264511e+07 -7.58393661e+01 
 7.16510617e+07 -7.73466545e+01 
 7.17756722e+07 -8.02725867e+01 
 7.19002828e+07 -7.58763949e+01 
 7.20248933e+07 -7.59213474e+01 
 7.21495039e+07 -8.10343944e+01 
 7.22741144e+07 -7.79641445e+01 
 7.23987249e+07 -7.16298661e+01 
 7.25233355e+07 -7.24388817e+01 
 7.26479460e+07 -8.03589574e+01 
 7.27725566e+07 -7.85982774e+01 
 7.28971671e+07 -7.37598479e+01 
 7.30217776e+07 -8.21982077e+01 
 7.31463882e+07 -7.42969681e+01 
 7.32709987e+07 -7.68066689e+01 
 7.33956093e+07 -7.22082229e+01 
 7.35202198e+07 -6.98872986e+01 
 7.36448304e+07 -7.45563640e+01 
 7.37694409e+07 -7.93926262e+01 
 7.38940514e+07 -7.56657809e+01 
 7.40186620e+07 -7.34270288e+01 
 7.41432725e+07 -7.45746191e+01 
 7.42678831e+07 -7.61386408e+01 
 7.43924936e+07 -7.53595196e+01 
 7.45171041e+07 -7.52696796e+01 
 7.46417147e+07 -7.15549248e+01 
 7.47663252e+07 -7.53525280e+01 
 7.48909358e+07 -7.62357292e+01 
 7.50155463e+07 -7.22733917e+01 
 7.51401569e+07 -6.98602627e+01 
 7.52647674e+07 -7.08811913e+01 
 7.53893779e+07 -7.09645443e+01 
 7.55139885e+07 -7.52456825e+01 
 7.56385990e+07 -7.62361121e+01 
 7.57632096e+07 -7.56970117e+01 
 7.58878201e+07 -7.83374640e+01 
 7.60124307e+07 -7.95760831e+01 
 7.61370412e+07 -7.76087023e+01 
 7.62616517e+07 -7.62858689e+01 
 7.63862623e+07 -9.78972702e+01 
 7.65108728e+07 -8.04708436e+01 
 7.66354834e+07 -7.57200500e+01 
 7.67600939e+07 -7.92649244e+01 
 7.68847044e+07 -9.19683592e+01 
 7.70093150e+07 -8.73623930e+01 
 7.71339255e+07 -8.01804846e+01 
 7.72585361e+07 -8.41135476e+01 
 7.73831466e+07 -8.01549165e+01 
 7.75077572e+07 -7.64041175e+01 
 7.76323677e+07 -7.67986682e+01 
 7.77569782e+07 -8.48154511e+01 
 7.78815888e+07 -8.52912840e+01 
 7.80061993e+07 -8.17203305e+01 
 7.81308099e+07 -7.84020716e+01 
 7.82554204e+07 -7.86134514e+01 
 7.83800310e+07 -7.73485885e+01 
 7.85046415e+07 -8.05255584e+01 
 7.86292520e+07 -7.63598661e+01 
 7.87538626e+07 -7.67977885e+01 
 7.88784731e+07 -8.75898777e+01 
 7.90030837e+07 -8.25857350e+01 
 7.91276942e+07 -8.05526110e+01 
 7.92523047e+07 -7.84612310e+01 
 7.93769153e+07 -8.23368617e+01 
 7.95015258e+07 -7.89375351e+01 
 7.96261364e+07 -7.75189068e+01 
 7.97507469e+07 -7.58632084e+01 
 7.98753575e+07 -7.18571810e+01 
 7.99999680e+07 -7.27066504e+01 
 8.01245785e+07 -8.61827378e+01 
 8.02491891e+07 -8.49294446e+01 
 8.03737996e+07 -7.21065342e+01 
 8.04984102e+07 -7.08076830e+01 
 8.06230207e+07 -7.10130819e+01 
 8.07476313e+07 -7.25988878e+01 
 8.08722418e+07 -7.58340294e+01 
 8.09968523e+07 -7.74525163e+01 
 8.11214629e+07 -7.74661121e+01 
 8.12460734e+07 -7.82738672e+01 
 8.13706840e+07 -7.06810636e+01 
 8.14952945e+07 -7.17299203e+01 
 8.16199050e+07 -7.57687615e+01 
 8.17445156e+07 -7.45116611e+01 
 8.18691261e+07 -8.79810417e+01 
 8.19937367e+07 -7.73024046e+01 
 8.21183472e+07 -6.43185345e+01 
 8.22429578e+07 -6.62548682e+01 
 8.23675683e+07 -8.15568402e+01 
 8.24921788e+07 -8.03267043e+01 
 8.26167894e+07 -6.81756298e+01 
 8.27413999e+07 -7.17368839e+01 
 8.28660105e+07 -7.16426660e+01 
 8.29906210e+07 -7.43509503e+01 
 8.31152316e+07 -8.37892233e+01 
 8.32398421e+07 -8.02010647e+01 
 8.33644526e+07 -6.86003658e+01 
 8.34890632e+07 -6.75050303e+01 
 8.36136737e+07 -6.69942752e+01 
 8.37382843e+07 -6.45643892e+01 
 8.38628948e+07 -5.69702065e+01 
