frequency,mag_dB,phase_deg
3.999447497610973556e+01,-4.999999999983359422e-01,-8.101649965912456619e-03
4.083193863326921047e+01,-4.999999999982634447e-01,-8.271294334545462729e-03
4.168693834703353218e+01,-4.999999999981908916e-01,-8.444490968746378931e-03
4.255984131337428522e+01,-4.999999999981142862e-01,-8.621314251126985240e-03
4.345102241715714086e+01,-4.999999999980345722e-01,-8.801840121832870192e-03
4.436086439314323115e+01,-4.999999999979518606e-01,-8.986146111157375382e-03
4.528975799036207661e+01,-4.999999999978660403e-01,-9.174311372838514500e-03
4.623810213992601348e+01,-4.999999999977731147e-01,-9.366416718053069065e-03
4.720630412635904349e+01,-4.999999999976791898e-01,-9.562544650122557430e-03
4.819477976251272366e+01,-4.999999999975831555e-01,-9.762779399945844747e-03
4.920395356814508858e+01,-4.999999999974789056e-01,-9.967206962173805196e-03
5.023425895223869020e+01,-4.999999999973757658e-01,-1.017591513214135580e-02
5.128613839913648320e+01,-4.999999999972634113e-01,-1.038899354357293060e-02
5.236004365857501597e+01,-4.999999999971469489e-01,-1.060653370707738581e-02
5.345643593969713692e+01,-4.999999999970253795e-01,-1.082862904944907612e-02
5.457578610912707973e+01,-4.999999999968987585e-01,-1.105537495379180397e-02
5.571857489319295098e+01,-4.999999999967700282e-01,-1.128686880048295101e-02
5.688529308438413068e+01,-4.999999999966321385e-01,-1.152321000899543361e-02
5.807644175213118132e+01,-4.999999999964891417e-01,-1.176450008059532273e-02
5.929253245799996819e+01,-4.999999999963410380e-01,-1.201084264193359383e-02
6.053408747539133117e+01,-4.999999999961857733e-01,-1.226234348955061032e-02
6.180164001384157046e+01,-4.999999999960253461e-01,-1.251911063531256120e-02
6.309573444801930009e+01,-4.999999999958568142e-01,-1.278125435279929036e-02
6.441692655151771874e+01,-4.999999999956811214e-01,-1.304888722466347566e-02
6.576578373554202983e+01,-4.999999999955003771e-01,-1.332212419098147138e-02
6.714288529259522420e+01,-4.999999999953093077e-01,-1.360108259861664629e-02
6.854882264526612801e+01,-4.999999999951101337e-01,-1.388588225161628380e-02
6.998419960022731345e+01,-4.999999999949048535e-01,-1.417664546266387583e-02
7.144963260755130818e+01,-4.999999999946883045e-01,-1.447349710560871111e-02
7.294575102545682910e+01,-4.999999999944625406e-01,-1.477656466909546724e-02
