 frequency       v(Tmb_dB)       v(Tmb_arg)     
 5.16263340e+02 -2.77793042e+02 -6.77034082e-05 
 5.28168234e+02 -2.77723108e+02 -5.45409851e-04 
 5.40347650e+02 -2.77760336e+02 -1.67732205e-03 
 5.52807921e+02 -2.77790605e+02 -6.76226560e-04 
 5.65555523e+02 -2.77709960e+02 -2.20707548e-04 
 5.78597080e+02 -2.77728784e+02 -4.51418328e-04 
 5.91939372e+02 -2.77710728e+02 -2.21512580e-04 
 6.05589334e+02 -2.77759214e+02 -3.23373484e-03 
 6.19554061e+02 -2.77588634e+02 -1.84891590e-03 
 6.33840810e+02 -2.77794159e+02 -1.54293044e-03 
 6.48457008e+02 -2.77800804e+02 -1.99924057e-03 
 6.63410251e+02 -2.77778395e+02 -3.28639341e-03 
 6.78708313e+02 -2.77795342e+02  8.66314871e-04 
 6.94359143e+02 -2.77746630e+02 -6.38318405e-04 
 7.10370877e+02 -2.77680759e+02 -2.35145400e-03 
 7.26751838e+02 -2.77749206e+02 -1.64138405e-03 
 7.43510539e+02 -2.77683439e+02 -2.48822805e-03 
 7.60655691e+02 -2.77736190e+02 -4.57413360e-05 
 7.78196206e+02 -2.77666481e+02 -3.62485701e-03 
 7.96141200e+02 -2.77802900e+02 -1.45288402e-03 
 8.14500001e+02 -2.77724495e+02 -1.77711741e-03 
 8.33282151e+02 -2.77781279e+02 -2.68361183e-03 
 8.52497412e+02 -2.77742835e+02 -3.39410795e-03 
 8.72155772e+02 -2.77729378e+02 -4.87871221e-04 
 8.92267449e+02 -2.77847353e+02  6.71020574e-04 
 9.12842895e+02 -2.77704150e+02 -1.05095223e-03 
 9.33892805e+02 -2.77647665e+02 -2.81809891e-03 
 9.55428121e+02 -2.77897083e+02 -6.70279053e-04 
 9.77460036e+02 -2.77842872e+02 -2.92743183e-03 
 1.00000000e+03 -2.77649411e+02 -6.59418883e-03 
 1.02305973e+03 -2.77687221e+02 -2.32039353e-03 
 1.04665121e+03 -2.77636632e+02 -2.44826736e-03 
 1.07078670e+03 -2.77785602e+02 -1.17803524e-03 
 1.09547876e+03 -2.77644362e+02 -4.51802115e-03 
 1.12074020e+03 -2.77749546e+02 -2.20278044e-03 
 1.14658417e+03 -2.77789942e+02 -6.21406091e-04 
 1.17302409e+03 -2.77705895e+02 -3.00530357e-03 
 1.20007371e+03 -2.77810406e+02 -1.49444111e-03 
 1.22774708e+03 -2.77800166e+02 -3.18034119e-03 
 1.25605860e+03 -2.77730336e+02 -5.43072165e-03 
 1.28502297e+03 -2.77723700e+02 -6.86632342e-04 
 1.31465525e+03 -2.77778882e+02 -3.97478485e-03 
 1.34497085e+03 -2.77605473e+02 -1.20397740e-03 
 1.37598551e+03 -2.77823216e+02 -2.40905142e-03 
 1.40771537e+03 -2.77858102e+02 -4.25661512e-03 
 1.44017690e+03 -2.77847192e+02 -9.65073832e-03 
 1.47338699e+03 -2.77750540e+02 -2.56303519e-03 
 1.50736290e+03 -2.77735257e+02  3.27754989e-05 
 1.54212228e+03 -2.77714962e+02 -2.72557783e-03 
 1.57768320e+03 -2.77865823e+02  1.00712112e-03 
 1.61406415e+03 -2.77641912e+02 -7.45409931e-03 
 1.65128404e+03 -2.77787554e+02 -6.97098619e-04 
 1.68936220e+03 -2.77861067e+02  3.03419936e-03 
 1.72831844e+03 -2.77938633e+02  5.41445057e-03 
 1.76817299e+03 -2.77738529e+02 -4.57484297e-03 
 1.80894658e+03 -2.77719771e+02 -1.32190623e-03 
 1.85066040e+03 -2.77733413e+02 -5.69369686e-03 
 1.89333613e+03 -2.77867745e+02  5.14745289e-03 
 1.93699595e+03 -2.77768391e+02 -7.85690041e-03 
 1.98166255e+03 -2.77627925e+02 -7.57703928e-03 
 2.02735916e+03 -2.77750144e+02 -1.04581940e-02 
 2.07410951e+03 -2.77797551e+02 -6.21162400e-04 
 2.12193792e+03 -2.77659909e+02 -1.15162458e-02 
 2.17086923e+03 -2.77738857e+02 -1.03318585e-02 
 2.22092889e+03 -2.77808958e+02 -4.89039296e-03 
 2.27214291e+03 -2.77762064e+02 -5.28755075e-03 
 2.32453791e+03 -2.77682670e+02 -9.61289816e-03 
 2.37814113e+03 -2.77656026e+02 -1.19511747e-02 
 2.43298042e+03 -2.77763088e+02 -2.13225187e-04 
 2.48908429e+03 -2.77818415e+02 -1.39638961e-02 
 2.54648190e+03 -2.77725849e+02 -1.03064303e-03 
 2.60520309e+03 -2.77666020e+02 -1.04386901e-02 
 2.66527837e+03 -2.77763939e+02 -3.08415281e-03 
 2.72673897e+03 -2.77753282e+02  4.06892728e-04 
 2.78961683e+03 -2.77844255e+02 -1.00711764e-02 
 2.85394464e+03 -2.77699336e+02 -7.87179660e-03 
 2.91975583e+03 -2.77680742e+02 -1.04069683e-02 
 2.98708461e+03 -2.77673780e+02 -5.91424372e-03 
 3.05596598e+03 -2.77660430e+02 -1.35858612e-02 
 3.12643573e+03 -2.77726940e+02 -3.09337002e-03 
 3.19853049e+03 -2.77760140e+02  6.17589996e-04 
 3.27228774e+03 -2.77834690e+02  5.05067201e-03 
 3.34774581e+03 -2.77909504e+02  1.04715985e-02 
 3.42494392e+03 -2.77917223e+02 -1.21412847e-02 
 3.50392221e+03 -2.77751029e+02  3.71275674e-03 
 3.58472171e+03 -2.77684648e+02 -8.06956158e-03 
 3.66738442e+03 -2.77796956e+02 -1.14574622e-02 
 3.75195331e+03 -2.77754940e+02 -5.99611618e-03 
 3.83847234e+03 -2.77715173e+02 -1.37537578e-02 
 3.92698648e+03 -2.77705636e+02  2.09198133e-03 
 4.01754173e+03 -2.77780385e+02 -6.75809876e-03 
 4.11018515e+03 -2.77820091e+02 -1.86927673e-03 
 4.20496491e+03 -2.77794931e+02 -1.21575256e-02 
 4.30193027e+03 -2.77658713e+02 -8.39535905e-03 
 4.40113162e+03 -2.77887986e+02 -3.73180707e-03 
 4.50262052e+03 -2.77789214e+02 -1.61050884e-02 
 4.60644974e+03 -2.77770213e+02 -2.03148779e-02 
 4.71267322e+03 -2.77595826e+02 -9.99695956e-03 
 4.82134619e+03 -2.77735476e+02 -1.57334894e-02 
 4.93252513e+03 -2.77778184e+02  4.89877659e-04 
 5.04626783e+03 -2.77614900e+02 -1.12760840e-02 
 5.16263340e+03 -2.77715640e+02 -9.76859742e-03 
 5.28168234e+03 -2.77863590e+02  7.22640229e-04 
 5.40347650e+03 -2.77670884e+02 -1.77521773e-02 
 5.52807921e+03 -2.77745853e+02 -1.93356381e-02 
 5.65555523e+03 -2.77748036e+02 -1.89460762e-02 
 5.78597080e+03 -2.77692261e+02 -1.30400859e-02 
 5.91939372e+03 -2.77794586e+02 -1.58716975e-02 
 6.05589334e+03 -2.77899708e+02 -9.06007067e-03 
 6.19554061e+03 -2.77777815e+02 -6.64855466e-03 
 6.33840810e+03 -2.77602966e+02 -2.44559047e-02 
 6.48457008e+03 -2.77727506e+02 -1.71941710e-02 
 6.63410251e+03 -2.77823538e+02 -5.64672604e-03 
 6.78708313e+03 -2.77763311e+02 -1.15758003e-02 
 6.94359143e+03 -2.77787523e+02 -4.92803692e-03 
 7.10370877e+03 -2.77859434e+02 -1.97009881e-02 
 7.26751838e+03 -2.77732187e+02 -1.51226833e-02 
 7.43510539e+03 -2.77749635e+02 -4.24695428e-02 
 7.60655691e+03 -2.77792208e+02  4.71864296e-03 
 7.78196206e+03 -2.77823249e+02 -6.67722016e-03 
 7.96141200e+03 -2.77792264e+02 -2.48098385e-02 
 8.14500001e+03 -2.77749239e+02 -3.43720767e-03 
 8.33282151e+03 -2.77677807e+02  5.50906331e-03 
 8.52497412e+03 -2.77646018e+02 -5.54018508e-02 
 8.72155772e+03 -2.77738136e+02 -4.62200403e-02 
 8.92267449e+03 -2.77782853e+02 -3.05104969e-02 
 9.12842895e+03 -2.77825451e+02 -4.32650580e-03 
 9.33892805e+03 -2.77758654e+02 -1.11441418e-02 
 9.55428121e+03 -2.77780786e+02 -9.40429341e-03 
 9.77460036e+03 -2.77725365e+02 -1.73725126e-02 
 1.00000000e+04 -2.77682018e+02 -4.86405462e-02 
 1.02305973e+04 -2.77878404e+02 -3.08520532e-02 
 1.04665121e+04 -2.77807197e+02 -2.33630784e-02 
 1.07078670e+04 -2.77664364e+02 -5.58890507e-02 
 1.09547876e+04 -2.77731752e+02 -2.13214689e-02 
 1.12074020e+04 -2.77765373e+02 -3.19565755e-02 
 1.14658417e+04 -2.77751837e+02  2.15109915e-02 
 1.17302409e+04 -2.77683355e+02 -1.01148763e-02 
 1.20007371e+04 -2.77778922e+02 -2.01591835e-02 
 1.22774708e+04 -2.77769877e+02 -7.58505736e-03 
 1.25605860e+04 -2.77694623e+02 -2.40179394e-03 
 1.28502297e+04 -2.77802553e+02 -8.75930550e-03 
 1.31465525e+04 -2.77872465e+02  1.01300332e-02 
 1.34497085e+04 -2.77796222e+02  8.72762957e-03 
 1.37598551e+04 -2.77771816e+02 -4.56601394e-02 
 1.40771537e+04 -2.77730337e+02  4.06787659e-02 
 1.44017690e+04 -2.77694476e+02 -1.63307142e-02 
 1.47338699e+04 -2.77716475e+02 -1.92650871e-02 
 1.50736290e+04 -2.77750522e+02  7.98072300e-03 
 1.54212228e+04 -2.77691264e+02 -9.51540410e-03 
 1.57768320e+04 -2.77733571e+02 -4.26313465e-02 
 1.61406415e+04 -2.77710693e+02 -2.58154136e-02 
 1.65128404e+04 -2.77861383e+02 -2.26167456e-02 
 1.68936220e+04 -2.77863726e+02 -8.55385299e-02 
 1.72831844e+04 -2.77820131e+02  3.44719557e-02 
 1.76817299e+04 -2.77838711e+02 -2.81271900e-02 
 1.80894658e+04 -2.77775258e+02  2.93083088e-03 
 1.85066040e+04 -2.77775008e+02  1.17179260e-02 
 1.89333613e+04 -2.77758860e+02 -1.27667463e-02 
 1.93699595e+04 -2.77817346e+02 -8.32979379e-02 
 1.98166255e+04 -2.77797512e+02  1.41201681e-02 
 2.02735916e+04 -2.77610289e+02 -6.88591426e-02 
 2.07410951e+04 -2.77734715e+02 -6.07601597e-02 
 2.12193792e+04 -2.77794437e+02 -1.25736332e-01 
 2.17086923e+04 -2.77785962e+02  1.14823509e-02 
 2.22092889e+04 -2.77772903e+02  1.58651953e-03 
 2.27214291e+04 -2.77795457e+02 -4.92079870e-02 
 2.32453791e+04 -2.77673181e+02  1.39987621e-02 
 2.37814113e+04 -2.77816497e+02 -2.61235164e-02 
 2.43298042e+04 -2.77594123e+02 -4.76454811e-03 
 2.48908429e+04 -2.77690094e+02  5.10883151e-02 
 2.54648190e+04 -2.77740034e+02  3.82139448e-02 
 2.60520309e+04 -2.77794747e+02  3.38390729e-02 
 2.66527837e+04 -2.77771293e+02 -6.75451226e-02 
 2.72673897e+04 -2.77690864e+02  5.39810831e-03 
