time_us,vout
1.119525999999999438e-01,6.240041820000000183e-02
1.119743000000003180e-01,6.241270470000000181e-02
1.119836000000014459e-01,6.241796589999999700e-02
1.119879000000005148e-01,6.242042319999999839e-02
1.119966000000003209e-01,6.242533790000000249e-02
1.120138999999999718e-01,6.243516720000000242e-02
1.120336000000015514e-01,6.244626469999999679e-02
1.120370000000011773e-01,6.244823060000000148e-02
1.120440000000003100e-01,6.245216239999999697e-02
1.120579000000003350e-01,6.246002600000000182e-02
1.120857000000003850e-01,6.247575340000000033e-02
1.121412000000005377e-01,6.250720860000000267e-02
1.122524000000007238e-01,6.257012130000000338e-02
1.124747000000011626e-01,6.269595579999999446e-02
1.127916999999999670e-01,6.287543369999999687e-02
1.129926000000015529e-01,6.298917369999999794e-02
1.131482000000001709e-01,6.307726830000000284e-02
1.133196000000010473e-01,6.317434460000000140e-02
1.134776000000015939e-01,6.326383019999999580e-02
1.137936000000010078e-01,6.344282210000000422e-02
1.141723000000012672e-01,6.365731630000000252e-02
1.147391000000007460e-01,6.397852919999999499e-02
1.155399000000003062e-01,6.443242559999999564e-02
1.171245000000013248e-01,6.533134860000000543e-02
1.189651000000009201e-01,6.637657969999999352e-02
1.189661000000003244e-01,6.637714790000000253e-02
1.189681000000007982e-01,6.637828440000000108e-02
1.189721000000000667e-01,6.638055719999999549e-02
1.189750999999999309e-01,6.638226179999999477e-02
1.189759000000011335e-01,6.638271639999999973e-02
1.189775000000001665e-01,6.638362550000000140e-02
1.189807000000016046e-01,6.638544379999999911e-02
1.189871000000011086e-01,6.638908030000000016e-02
1.189999000000001028e-01,6.639635350000000491e-02
1.190255000000014912e-01,6.641089999999999494e-02
1.190767000000008680e-01,6.643999370000000515e-02
1.191791000000013284e-01,6.649818420000000452e-02
1.193839000000005424e-01,6.661457689999999987e-02
1.197935000000006633e-01,6.684740979999999333e-02
1.206127000000009192e-01,6.731326440000000300e-02
1.208221000000007234e-01,6.743238429999999506e-02
1.208721000000008428e-01,6.746083029999999647e-02
1.208885000000010368e-01,6.747015160000000011e-02
1.209213000000014387e-01,6.748879439999999619e-02
1.209868000000005883e-01,6.752608120000000436e-02
1.211179000000005557e-01,6.760065949999999324e-02
1.213800000000005153e-01,6.774983510000000264e-02
1.219043000000004096e-01,6.804826140000000412e-02
1.229529000000001704e-01,6.864540650000000577e-02
1.250500000000014655e-01,6.984077669999999571e-02
1.278837000000006552e-01,7.145785600000000015e-02
1.278847000000000733e-01,7.145842700000000491e-02
1.278867000000005472e-01,7.145956909999999496e-02
1.278907000000014949e-01,7.146185339999999719e-02
1.278937000000013591e-01,7.146356650000000588e-02
1.278945000000008825e-01,7.146402340000000686e-02
1.278961000000015946e-01,7.146493710000000055e-02
1.278993000000013536e-01,7.146676439999999353e-02
1.279057000000008437e-01,7.147041919999999604e-02
1.279185000000015449e-01,7.147772880000000106e-02
1.279441000000012263e-01,7.149234799999999723e-02
1.279953000000006169e-01,7.152158690000000318e-02
1.280977000000010635e-01,7.158006629999999482e-02
1.283025000000002913e-01,7.169703149999999414e-02
1.287121000000004123e-01,7.193098629999999938e-02
1.294407000000015184e-01,7.234721939999999574e-02
1.295226000000008759e-01,7.239402470000000367e-02
1.296865000000012313e-01,7.248763780000000434e-02
1.296907000000003529e-01,7.249006040000000040e-02
1.296992000000002643e-01,7.249490570000000078e-02
1.297161000000001674e-01,7.250459639999999595e-02
1.297407000000004584e-01,7.251862959999999525e-02
1.297441000000001121e-01,7.252056769999999652e-02
1.297509000000010571e-01,7.252444399999999347e-02
1.297644000000013065e-01,7.253219660000000124e-02
1.297907000000005917e-01,7.254719900000000665e-02
1.297934000000006416e-01,7.254874960000000372e-02
1.297988000000007414e-01,7.255185059999999519e-02
