 v-sweep         v(vinp)         v(voutp)        v(voutn)       
-1.24900000e+00  1.25500000e-01  8.35831214e-02  1.43951881e+00 
-1.24800000e+00  1.26000000e-01  8.36185270e-02  1.43951591e+00 
-1.24700000e+00  1.26500000e-01  8.36539818e-02  1.43951300e+00 
-1.24600000e+00  1.27000000e-01  8.36894857e-02  1.43951008e+00 
-1.24500000e+00  1.27500000e-01  8.37250389e-02  1.43950716e+00 
-1.24400000e+00  1.28000000e-01  8.37606415e-02  1.43950424e+00 
-1.24300000e+00  1.28500000e-01  8.37962935e-02  1.43950130e+00 
-1.24200000e+00  1.29000000e-01  8.38319949e-02  1.43949837e+00 
-1.24100000e+00  1.29500000e-01  8.38677459e-02  1.43949543e+00 
-1.24000000e+00  1.30000000e-01  8.39035466e-02  1.43949248e+00 
-1.23900000e+00  1.30500000e-01  8.39393970e-02  1.43948952e+00 
-1.23800000e+00  1.31000000e-01  8.39752972e-02  1.43948656e+00 
-1.23700000e+00  1.31500000e-01  8.40112472e-02  1.43948360e+00 
-1.23600000e+00  1.32000000e-01  8.40472473e-02  1.43948062e+00 
-1.23500000e+00  1.32500000e-01  8.40832974e-02  1.43947765e+00 
-1.23400000e+00  1.33000000e-01  8.41193976e-02  1.43947466e+00 
-1.23300000e+00  1.33500000e-01  8.41555480e-02  1.43947167e+00 
-1.23200000e+00  1.34000000e-01  8.41917487e-02  1.43946867e+00 
-1.23100000e+00  1.34500000e-01  8.42279997e-02  1.43946566e+00 
-1.23000000e+00  1.35000000e-01  8.42643013e-02  1.43946265e+00 
-1.22900000e+00  1.35500000e-01  8.43006533e-02  1.43945963e+00 
-1.22800000e+00  1.36000000e-01  8.43370560e-02  1.43945660e+00 
-1.22700000e+00  1.36500000e-01  8.43735094e-02  1.43945357e+00 
-1.22600000e+00  1.37000000e-01  8.44100136e-02  1.43945053e+00 
-1.22500000e+00  1.37500000e-01  8.44465687e-02  1.43944748e+00 
-1.22400000e+00  1.38000000e-01  8.44831748e-02  1.43944442e+00 
-1.22300000e+00  1.38500000e-01  8.45198319e-02  1.43944136e+00 
-1.22200000e+00  1.39000000e-01  8.45565401e-02  1.43943828e+00 
-1.22100000e+00  1.39500000e-01  8.45932996e-02  1.43943520e+00 
-1.22000000e+00  1.40000000e-01  8.46301104e-02  1.43943211e+00 
-1.21900000e+00  1.40500000e-01  8.46669726e-02  1.43942901e+00 
-1.21800000e+00  1.41000000e-01  8.47038863e-02  1.43942591e+00 
-1.21700000e+00  1.41500000e-01  8.47408517e-02  1.43942279e+00 
-1.21600000e+00  1.42000000e-01  8.47778687e-02  1.43941966e+00 
-1.21500000e+00  1.42500000e-01  8.48149375e-02  1.43941653e+00 
-1.21400000e+00  1.43000000e-01  8.48520581e-02  1.43941339e+00 
-1.21300000e+00  1.43500000e-01  8.48892308e-02  1.43941024e+00 
-1.21200000e+00  1.44000000e-01  8.49264555e-02  1.43940707e+00 
-1.21100000e+00  1.44500000e-01  8.49637324e-02  1.43940390e+00 
-1.21000000e+00  1.45000000e-01  8.50010615e-02  1.43940072e+00 
-1.20900000e+00  1.45500000e-01  8.50384430e-02  1.43939753e+00 
-1.20800000e+00  1.46000000e-01  8.50758769e-02  1.43939433e+00 
-1.20700000e+00  1.46500000e-01  8.51133634e-02  1.43939111e+00 
-1.20600000e+00  1.47000000e-01  8.51509026e-02  1.43938789e+00 
-1.20500000e+00  1.47500000e-01  8.51884945e-02  1.43938466e+00 
-1.20400000e+00  1.48000000e-01  8.52261393e-02  1.43938141e+00 
-1.20300000e+00  1.48500000e-01  8.52638370e-02  1.43937816e+00 
-1.20200000e+00  1.49000000e-01  8.53015878e-02  1.43937489e+00 
-1.20100000e+00  1.49500000e-01  8.53393917e-02  1.43937161e+00 
-1.20000000e+00  1.50000000e-01  8.53772490e-02  1.43936832e+00 
-1.19900000e+00  1.50500000e-01  8.54151596e-02  1.43936502e+00 
-1.19800000e+00  1.51000000e-01  8.54531237e-02  1.43936171e+00 
-1.19700000e+00  1.51500000e-01  8.54911414e-02  1.43935839e+00 
-1.19600000e+00  1.52000000e-01  8.55292128e-02  1.43935505e+00 
-1.19500000e+00  1.52500000e-01  8.55673380e-02  1.43935170e+00 
-1.19400000e+00  1.53000000e-01  8.56055171e-02  1.43934834e+00 
-1.19300000e+00  1.53500000e-01  8.56437503e-02  1.43934496e+00 
-1.19200000e+00  1.54000000e-01  8.56820376e-02  1.43934157e+00 
-1.19100000e+00  1.54500000e-01  8.57203792e-02  1.43933817e+00 
-1.19000000e+00  1.55000000e-01  8.57587752e-02  1.43933475e+00 
-1.18900000e+00  1.55500000e-01  8.57972256e-02  1.43933133e+00 
-1.18800000e+00  1.56000000e-01  8.58357307e-02  1.43932788e+00 
-1.18700000e+00  1.56500000e-01  8.58742904e-02  1.43932443e+00 
-1.18600000e+00  1.57000000e-01  8.59129051e-02  1.43932095e+00 
-1.18500000e+00  1.57500000e-01  8.59515747e-02  1.43931747e+00 
-1.18400000e+00  1.58000000e-01  8.59902993e-02  1.43931397e+00 
-1.18300000e+00  1.58500000e-01  8.60290792e-02  1.43931045e+00 
-1.18200000e+00  1.59000000e-01  8.60679144e-02  1.43930692e+00 
-1.18100000e+00  1.59500000e-01  8.61068051e-02  1.43930338e+00 
-1.18000000e+00  1.60000000e-01  8.61457513e-02  1.43929982e+00 
-1.17900000e+00  1.60500000e-01  8.61847533e-02  1.43929624e+00 
-1.17800000e+00  1.61000000e-01  8.62238111e-02  1.43929265e+00 
-1.17700000e+00  1.61500000e-01  8.62629248e-02  1.43928904e+00 
-1.17600000e+00  1.62000000e-01  8.63020946e-02  1.43928541e+00 
-1.17500000e+00  1.62500000e-01  8.63413207e-02  1.43928177e+00 
-1.17400000e+00  1.63000000e-01  8.63806031e-02  1.43927811e+00 
-1.17300000e+00  1.63500000e-01  8.64199419e-02  1.43927443e+00 
-1.17200000e+00  1.64000000e-01  8.64593374e-02  1.43927074e+00 
-1.17100000e+00  1.64500000e-01  8.64987897e-02  1.43926703e+00 
-1.17000000e+00  1.65000000e-01  8.65382988e-02  1.43926330e+00 
-1.16900000e+00  1.65500000e-01  8.65778650e-02  1.43925955e+00 
-1.16800000e+00  1.66000000e-01  8.66174884e-02  1.43925578e+00 
-1.16700000e+00  1.66500000e-01  8.66571690e-02  1.43925200e+00 
-1.16600000e+00  1.67000000e-01  8.66969071e-02  1.43924819e+00 
-1.16500000e+00  1.67500000e-01  8.67367028e-02  1.43924437e+00 
-1.16400000e+00  1.68000000e-01  8.67765562e-02  1.43924053e+00 
-1.16300000e+00  1.68500000e-01  8.68164675e-02  1.43923667e+00 
-1.16200000e+00  1.69000000e-01  8.68564369e-02  1.43923279e+00 
-1.16100000e+00  1.69500000e-01  8.68964644e-02  1.43922888e+00 
-1.16000000e+00  1.70000000e-01  8.69365502e-02  1.43922496e+00 
-1.15900000e+00  1.70500000e-01  8.69766945e-02  1.43922102e+00 
-1.15800000e+00  1.71000000e-01  8.70168974e-02  1.43921706e+00 
-1.15700000e+00  1.71500000e-01  8.70571591e-02  1.43921307e+00 
-1.15600000e+00  1.72000000e-01  8.70974798e-02  1.43920906e+00 
-1.15500000e+00  1.72500000e-01  8.71378595e-02  1.43920503e+00 
-1.15400000e+00  1.73000000e-01  8.71782985e-02  1.43920098e+00 
