 time            v(vin_tg)       v(vout_tg_on)   v(vout_tg_off) 
 3.29280000e-03  1.47304374e+00  1.47304378e+00  7.66801518e-01 
 3.30280000e-03  1.45910483e+00  1.45910489e+00  7.68478085e-01 
 3.31280000e-03  1.44236741e+00  1.44236749e+00  7.69305494e-01 
 3.32280000e-03  1.42289754e+00  1.42289763e+00  7.69522383e-01 
 3.33280000e-03  1.40077204e+00  1.40077215e+00  7.69338177e-01 
 3.34280000e-03  1.37607825e+00  1.37607838e+00  7.68908459e-01 
 3.35280000e-03  1.34891360e+00  1.34891376e+00  7.68334946e-01 
 3.36280000e-03  1.31938533e+00  1.31938550e+00  7.67677622e-01 
 3.37280000e-03  1.28760994e+00  1.28761014e+00  7.66969096e-01 
 3.38280000e-03  1.25371286e+00  1.25371308e+00  7.66226174e-01 
 3.39280000e-03  1.21782785e+00  1.21782810e+00  7.65457460e-01 
 3.40280000e-03  1.18009654e+00  1.18009681e+00  7.64667667e-01 
 3.41280000e-03  1.14066784e+00  1.14066814e+00  7.63859824e-01 
 3.42280000e-03  1.09969734e+00  1.09969768e+00  7.63036293e-01 
 3.43280000e-03  1.05734676e+00  1.05734714e+00  7.62199210e-01 
 3.44280000e-03  1.01378321e+00  1.01378363e+00  7.61350656e-01 
 3.45280000e-03  9.69178632e-01  9.69179111e-01  7.60492719e-01 
 3.46280000e-03  9.23709057e-01  9.23709586e-01  7.59627516e-01 
 3.47280000e-03  8.77553931e-01  8.77554504e-01  7.58757192e-01 
 3.48280000e-03  8.30895409e-01  8.30896015e-01  7.57883913e-01 
 3.49280000e-03  7.83917629e-01  7.83918255e-01  7.57009863e-01 
 3.50280000e-03  7.36805991e-01  7.36806630e-01  7.56137235e-01 
 3.51280000e-03  6.89746425e-01  6.89747055e-01  7.55268214e-01 
 3.52280000e-03  6.42924652e-01  6.42925252e-01  7.54404977e-01 
 3.53280000e-03  5.96525456e-01  5.96526019e-01  7.53549685e-01 
 3.54280000e-03  5.50731954e-01  5.50732469e-01  7.52704473e-01 
 3.55280000e-03  5.05724872e-01  5.05725334e-01  7.51871438e-01 
 3.56280000e-03  4.61681832e-01  4.61682243e-01  7.51052635e-01 
