 time            v(vin)          v(vinp)         v(vinn)         v(voutp)        v(voutn)        v(vout)        
 8.13789063e-06  8.10656002e-02  1.50000000e-01  1.35000000e+00  9.19195639e-01  5.84083409e-01  3.35112230e-01 
 8.13800223e-06  8.11309567e-02  4.50000000e-01  1.05000000e+00  9.19165484e-01  5.84109233e-01  3.35056251e-01 
 8.13822545e-06  8.12616680e-02  1.05000000e+00  4.50000000e-01  9.19105171e-01  5.84160893e-01  3.34944277e-01 
 8.13839286e-06  8.13596998e-02  1.50000000e+00  2.22044605e-16  9.19059931e-01  5.84199648e-01  3.34860283e-01 
 8.13843750e-06  8.13858414e-02  1.50000000e+00  2.22044605e-16  9.19047867e-01  5.84209984e-01  3.34837883e-01 
 8.13852679e-06  8.14381242e-02  1.50000000e+00  2.22044605e-16  9.19023738e-01  5.84230659e-01  3.34793079e-01 
 8.13870536e-06  8.15426887e-02  1.50000000e+00  2.22044605e-16  9.18975476e-01  5.84272015e-01  3.34703462e-01 
 8.13906250e-06  8.17518129e-02  1.50000000e+00  2.22044605e-16  9.18878941e-01  5.84354755e-01  3.34524186e-01 
 8.13964599e-06  8.20934575e-02  1.50000000e+00  2.22044605e-16  9.18721177e-01  5.84489999e-01  3.34231179e-01 
 8.14038645e-06  8.25269897e-02  1.50000000e+00  2.22044605e-16  9.18520868e-01  5.84661728e-01  3.33859140e-01 
 8.14168404e-06  8.32866506e-02  1.50000000e+00  2.22044605e-16  9.18169548e-01  5.84962901e-01  3.33206647e-01 
 8.14421635e-06  8.47689131e-02  1.50000000e+00  2.22044605e-16  9.17482972e-01  5.85551542e-01  3.31931430e-01 
 8.14732143e-06  8.65859820e-02  1.50000000e+00  2.22044605e-16  9.16639611e-01  5.86275129e-01  3.30364481e-01 
 8.14737723e-06  8.66186332e-02  1.35000000e+00  1.50000000e-01  9.16624439e-01  5.86288153e-01  3.30336286e-01 
