 time            v(vinp1_IF)     v(vinn1_IF)     v(vinp2_IF)     v(vinn2_IF)     v(LO_I)         v(LO_IX)        v(LO_Q)         v(LO_QX)        v(vout_RF)      v(vout_RF_filt)
 1.34293162e-05  4.02358696e-01  1.09764130e+00  8.54358393e-02  1.41456416e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.11194414e-01 -2.11703831e-01 
 1.34294694e-05  4.02438427e-01  1.09756157e+00  8.53941369e-02  1.41460586e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.93573510e-01 -2.05656035e-01 
 1.34296374e-05  4.02525837e-01  1.09747416e+00  8.53484328e-02  1.41465157e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.92935325e-01 -1.98821952e-01 
 1.34298548e-05  4.02638975e-01  1.09736102e+00  8.52892972e-02  1.41471070e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.96232269e-01 -1.89734943e-01 
 1.34301737e-05  4.02804904e-01  1.09719510e+00  8.52026132e-02  1.41479739e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  3.98883201e-01 -1.75962366e-01 
 1.34308113e-05  4.03136827e-01  1.09686317e+00  8.50293694e-02  1.41497063e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.00164429e-01 -1.46948295e-01 
 1.34320867e-05  4.03800933e-01  1.09619907e+00  8.46833792e-02  1.41531662e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.01176288e-01 -8.43347675e-02 
 1.34339887e-05  4.04792038e-01  1.09520796e+00  8.41685924e-02  1.41583141e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.03131336e-01  1.43019985e-02 
 1.34363816e-05  4.06039996e-01  1.09396000e+00  8.35230569e-02  1.41647694e+00  1.50000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  4.05938702e-01  1.32443896e-01 
 1.34375000e-05  4.06623657e-01  1.09337634e+00  8.32221606e-02  1.41677784e+00  1.50000000e+00  0.00000000e+00  2.54109884e-10  0.00000000e+00  4.07286235e-01  1.81790283e-01 
 1.34375010e-05  4.06624179e-01  1.09337582e+00  8.32218918e-02  1.41677811e+00  1.50000000e+00  0.00000000e+00  1.50000000e-01  0.00000000e+00  4.07287491e-01  1.81832730e-01 
 1.34375030e-05  4.06625223e-01  1.09337478e+00  8.32213542e-02  1.41677865e+00  1.50000000e+00  0.00000000e+00  4.50000000e-01  0.00000000e+00  4.07289974e-01  1.81917610e-01 
 1.34375070e-05  4.06627311e-01  1.09337269e+00  8.32202789e-02  1.41677972e+00  1.50000000e+00  0.00000000e+00  1.05000000e+00  0.00000000e+00  4.07294796e-01  1.82087304e-01 
 1.34375100e-05  4.06628877e-01  1.09337112e+00  8.32194724e-02  1.41678053e+00  1.50000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07298296e-01  1.82214513e-01 
 1.34375108e-05  4.06629295e-01  1.09337071e+00  8.32192574e-02  1.41678074e+00  1.38000000e+00  0.00000000e+00  1.50000000e+00  0.00000000e+00  4.07299170e-01  1.82248425e-01 
