 freq            v(vout_RF_filt_spec_db)
 6.13083867e+07 -1.10103039e+02 
 6.14329972e+07 -1.16279074e+02 
 6.15576078e+07 -1.20489305e+02 
 6.16822183e+07 -1.10461410e+02 
 6.18068289e+07 -1.10800510e+02 
 6.19314394e+07 -1.07100544e+02 
 6.20560499e+07 -1.07841141e+02 
 6.21806605e+07 -1.16080124e+02 
 6.23052710e+07 -1.12749930e+02 
 6.24298816e+07 -1.09729704e+02 
 6.25544921e+07 -1.07375107e+02 
 6.26791027e+07 -1.02646957e+02 
 6.28037132e+07 -1.03772116e+02 
 6.29283237e+07 -1.03905701e+02 
 6.30529343e+07 -1.01950974e+02 
 6.31775448e+07 -1.04152335e+02 
 6.33021554e+07 -1.02062417e+02 
 6.34267659e+07 -1.06623827e+02 
 6.35513764e+07 -1.17666875e+02 
 6.36759870e+07 -1.12303791e+02 
 6.38005975e+07 -1.04873030e+02 
 6.39252081e+07 -9.98702725e+01 
 6.40498186e+07 -1.00187080e+02 
 6.41744292e+07 -1.03715423e+02 
 6.42990397e+07 -1.00368064e+02 
 6.44236502e+07 -9.82092190e+01 
 6.45482608e+07 -1.01578280e+02 
 6.46728713e+07 -1.01828290e+02 
 6.47974819e+07 -9.65713044e+01 
 6.49220924e+07 -9.49383131e+01 
 6.50467030e+07 -9.59996053e+01 
 6.51713135e+07 -9.57841751e+01 
 6.52959240e+07 -9.54022020e+01 
 6.54205346e+07 -9.67574921e+01 
 6.55451451e+07 -9.87822985e+01 
 6.56697557e+07 -9.96118262e+01 
 6.57943662e+07 -1.01141882e+02 
 6.59189767e+07 -1.03899306e+02 
 6.60435873e+07 -1.04361748e+02 
 6.61681978e+07 -1.03296764e+02 
 6.62928084e+07 -1.12225403e+02 
 6.64174189e+07 -1.03025871e+02 
 6.65420295e+07 -1.02637702e+02 
 6.66666400e+07 -1.07451981e+02 
 6.67912505e+07 -1.04689276e+02 
 6.69158611e+07 -1.03223907e+02 
 6.70404716e+07 -1.02056539e+02 
 6.71650822e+07 -1.02991607e+02 
 6.72896927e+07 -1.05116265e+02 
 6.74143033e+07 -1.05177465e+02 
 6.75389138e+07 -1.02937949e+02 
 6.76635243e+07 -1.02630605e+02 
 6.77881349e+07 -1.03005630e+02 
 6.79127454e+07 -1.03878859e+02 
 6.80373560e+07 -1.01552468e+02 
 6.81619665e+07 -9.90779650e+01 
 6.82865770e+07 -9.91197463e+01 
 6.84111876e+07 -1.02133441e+02 
 6.85357981e+07 -1.00068588e+02 
 6.86604087e+07 -9.93773873e+01 
 6.87850192e+07 -1.01793898e+02 
 6.89096298e+07 -1.01077520e+02 
 6.90342403e+07 -9.79890394e+01 
 6.91588508e+07 -9.74511590e+01 
 6.92834614e+07 -9.64568373e+01 
 6.94080719e+07 -9.46146587e+01 
 6.95326825e+07 -9.53009961e+01 
 6.96572930e+07 -9.62731600e+01 
 6.97819036e+07 -9.49011872e+01 
 6.99065141e+07 -9.53087883e+01 
 7.00311246e+07 -9.63139092e+01 
 7.01557352e+07 -9.40970950e+01 
 7.02803457e+07 -9.24130652e+01 
 7.04049563e+07 -9.31783865e+01 
 7.05295668e+07 -9.62177557e+01 
 7.06541773e+07 -9.57347571e+01 
 7.07787879e+07 -9.30128835e+01 
 7.09033984e+07 -9.34815058e+01 
 7.10280090e+07 -9.63302939e+01 
 7.11526195e+07 -9.48882980e+01 
 7.12772301e+07 -9.40656602e+01 
 7.14018406e+07 -9.83823447e+01 
 7.15264511e+07 -1.03779945e+02 
 7.16510617e+07 -9.94681603e+01 
 7.17756722e+07 -9.84595340e+01 
 7.19002828e+07 -1.05598777e+02 
 7.20248933e+07 -1.06240672e+02 
 7.21495039e+07 -1.03013055e+02 
 7.22741144e+07 -1.02669706e+02 
 7.23987249e+07 -1.05326957e+02 
 7.25233355e+07 -1.01080406e+02 
 7.26479460e+07 -9.95057719e+01 
 7.27725566e+07 -1.02942874e+02 
 7.28971671e+07 -1.12628130e+02 
 7.30217776e+07 -1.13292166e+02 
 7.31463882e+07 -1.07086567e+02 
 7.32709987e+07 -1.07435969e+02 
 7.33956093e+07 -1.13314904e+02 
 7.35202198e+07 -1.05585257e+02 
 7.36448304e+07 -1.10630712e+02 
 7.37694409e+07 -1.02311197e+02 
 7.38940514e+07 -1.05489203e+02 
 7.40186620e+07 -1.19432569e+02 
 7.41432725e+07 -1.08681921e+02 
 7.42678831e+07 -9.87809534e+01 
 7.43924936e+07 -9.65995437e+01 
 7.45171041e+07 -9.74103324e+01 
 7.46417147e+07 -9.53824029e+01 
 7.47663252e+07 -9.49835664e+01 
 7.48909358e+07 -9.64895072e+01 
 7.50155463e+07 -9.54580106e+01 
 7.51401569e+07 -9.40481545e+01 
 7.52647674e+07 -9.47004352e+01 
 7.53893779e+07 -9.33061933e+01 
 7.55139885e+07 -9.28318754e+01 
 7.56385990e+07 -9.44772434e+01 
 7.57632096e+07 -9.45513535e+01 
 7.58878201e+07 -9.41337930e+01 
 7.60124307e+07 -9.61070999e+01 
 7.61370412e+07 -9.63470359e+01 
 7.62616517e+07 -9.32120071e+01 
 7.63862623e+07 -9.43071880e+01 
 7.65108728e+07 -9.84550584e+01 
 7.66354834e+07 -9.53243777e+01 
 7.67600939e+07 -9.32202681e+01 
 7.68847044e+07 -9.70640844e+01 
 7.70093150e+07 -1.02434324e+02 
 7.71339255e+07 -1.00670301e+02 
 7.72585361e+07 -9.94609751e+01 
 7.73831466e+07 -1.01624975e+02 
 7.75077572e+07 -1.05759949e+02 
 7.76323677e+07 -1.01029530e+02 
