 time            v(vinp_Q)       v(vinn_Q)       v(vinp_I)       v(vinn_I)       v(LO_I)         v(LO_IX)        v(LO_Q)         v(LO_QX)        v(vout_RF)      v(vout_RF_filt)
 8.02713041e-06 -0.00000000e+00  1.50000000e+00  9.26532454e-01  5.73467546e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.36171555e-01 -2.92819198e-01 
 8.02717179e-06 -0.00000000e+00  1.50000000e+00  1.03776455e+00  4.62235450e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.40742596e-01 -2.94218892e-01 
 8.02724443e-06 -0.00000000e+00  1.50000000e+00  1.23303709e+00  2.66962913e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.49016764e-01 -2.96638367e-01 
 8.02728368e-06 -0.00000000e+00  1.50000000e+00  1.33853595e+00  1.61464049e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.53540291e-01 -2.97925629e-01 
 8.02732484e-06 -0.00000000e+00  1.50000000e+00  1.44917809e+00  5.08219057e-02  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.58194766e-01 -2.99260891e-01 
 8.02734375e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.60286748e-01 -2.99869183e-01 
 8.02734833e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.60787276e-01 -3.00015814e-01 
 8.02735748e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.61784029e-01 -3.00308626e-01 
 8.02737578e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.63763210e-01 -3.00892080e-01 
 8.02741238e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.67697811e-01 -3.02049897e-01 
 8.02748558e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.75616992e-01 -3.04328370e-01 
 8.02763199e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  5.92074291e-01 -3.08733973e-01 
 8.02786760e-06 -0.00000000e+00  1.50000000e+00  1.50000000e+00  2.22044605e-16  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.50000000e+00  6.20426990e-01 -3.15393199e-01 
