 time            v(vinp)         v(vinn)         v(voutp)        v(voutn)        v(vout)        
 8.03935552e-06 -0.00000000e+00  1.50000000e+00  9.13759278e-01  5.88764489e-01  3.24994789e-01 
 8.03953647e-06 -0.00000000e+00  1.50000000e+00  9.13711899e-01  5.88805306e-01  3.24906594e-01 
 8.03989836e-06 -0.00000000e+00  1.50000000e+00  9.13617096e-01  5.88886975e-01  3.24730121e-01 
 8.04027096e-06 -0.00000000e+00  1.50000000e+00  9.13519420e-01  5.88971108e-01  3.24548312e-01 
 8.04088106e-06 -0.00000000e+00  1.50000000e+00  9.13359321e-01  5.89108966e-01  3.24250355e-01 
 8.04168868e-06 -0.00000000e+00  1.50000000e+00  9.13147070e-01  5.89291651e-01  3.23855419e-01 
 8.04330392e-06 -0.00000000e+00  1.50000000e+00  9.12721645e-01  5.89657919e-01  3.23063726e-01 
 8.04465286e-06 -0.00000000e+00  1.50000000e+00  9.12365537e-01  5.89964893e-01  3.22400644e-01 
 8.04465386e-06 -0.00000000e+00  1.50000000e+00  9.12365273e-01  5.89965121e-01  3.22400152e-01 
 8.04465586e-06 -0.00000000e+00  1.50000000e+00  9.12364744e-01  5.89965576e-01  3.22399168e-01 
 8.04465986e-06 -0.00000000e+00  1.50000000e+00  9.12363687e-01  5.89966488e-01  3.22397199e-01 
 8.04466286e-06 -0.00000000e+00  1.50000000e+00  9.12362894e-01  5.89967172e-01  3.22395722e-01 
 8.04466366e-06 -0.00000000e+00  1.50000000e+00  9.12362683e-01  5.89967354e-01  3.22395328e-01 
 8.04466526e-06 -0.00000000e+00  1.50000000e+00  9.12362260e-01  5.89967719e-01  3.22394541e-01 
 8.04466846e-06 -0.00000000e+00  1.50000000e+00  9.12361414e-01  5.89968449e-01  3.22392966e-01 
 8.04467486e-06 -0.00000000e+00  1.50000000e+00  9.12359723e-01  5.89969907e-01  3.22389816e-01 
 8.04468766e-06 -0.00000000e+00  1.50000000e+00  9.12356340e-01  5.89972825e-01  3.22383515e-01 
 8.04471326e-06 -0.00000000e+00  1.50000000e+00  9.12349575e-01  5.89978661e-01  3.22370913e-01 
 8.04476446e-06 -0.00000000e+00  1.50000000e+00  9.12336043e-01  5.89990335e-01  3.22345708e-01 
 8.04486686e-06 -0.00000000e+00  1.50000000e+00  9.12308976e-01  5.90013686e-01  3.22295289e-01 
 8.04507166e-06 -0.00000000e+00  1.50000000e+00  9.12254831e-01  5.90060410e-01  3.22194421e-01 
 8.04548126e-06 -0.00000000e+00  1.50000000e+00  9.12146496e-01  5.90153937e-01  3.21992559e-01 
 8.04630046e-06 -0.00000000e+00  1.50000000e+00  9.11929609e-01  5.90341277e-01  3.21588331e-01 
 8.04645986e-06 -0.00000000e+00  1.50000000e+00  9.11887371e-01  5.90377773e-01  3.21509598e-01 
 8.04650986e-06 -0.00000000e+00  1.50000000e+00  9.11874119e-01  5.90389224e-01  3.21484895e-01 
 8.04652624e-06 -0.00000000e+00  1.50000000e+00  9.11869776e-01  5.90392976e-01  3.21476800e-01 
 8.04655901e-06 -0.00000000e+00  1.50000000e+00  9.11861091e-01  5.90400481e-01  3.21460610e-01 
 8.04662455e-06 -0.00000000e+00  1.50000000e+00  9.11843718e-01  5.90415493e-01  3.21428225e-01 
 8.04675562e-06 -0.00000000e+00  1.50000000e+00  9.11808965e-01  5.90445522e-01  3.21363443e-01 
 8.04701776e-06 -0.00000000e+00  1.50000000e+00  9.11739431e-01  5.90505603e-01  3.21233828e-01 
 8.04754205e-06 -0.00000000e+00  1.50000000e+00  9.11600239e-01  5.90625850e-01  3.20974389e-01 
 8.04859063e-06 -0.00000000e+00  1.50000000e+00  9.11321367e-01  5.90866688e-01  3.20454678e-01 
 8.05068778e-06 -0.00000000e+00  1.50000000e+00  9.10761823e-01  5.91349850e-01  3.19411973e-01 
 8.05357143e-06 -0.00000000e+00  1.50000000e+00  9.09988903e-01  5.92017614e-01  3.17971289e-01 
 8.05392857e-06 -0.00000000e+00  1.50000000e+00  9.09892873e-01  5.92100635e-01  3.17792238e-01 
 8.05464286e-06 -0.00000000e+00  1.50000000e+00  9.09700696e-01  5.92266838e-01  3.17433858e-01 
 8.05547857e-06 -0.00000000e+00  1.50000000e+00  9.09475601e-01  5.92461596e-01  3.17014005e-01 
 8.05562143e-06 -0.00000000e+00  1.50000000e+00  9.09437091e-01  5.92494924e-01  3.16942167e-01 
 8.05572857e-06 -0.00000000e+00  1.50000000e+00  9.09408205e-01  5.92519924e-01  3.16888281e-01 
 8.05575714e-06 -0.00000000e+00  1.50000000e+00  9.09400501e-01  5.92526591e-01  3.16873910e-01 
 8.05577857e-06 -0.00000000e+00  1.50000000e+00  9.09394723e-01  5.92531592e-01  3.16863131e-01 
 8.05578429e-06 -0.00000000e+00  1.50000000e+00  9.09393182e-01  5.92532925e-01  3.16860257e-01 
 8.05579571e-06 -0.00000000e+00  1.50000000e+00  9.09390101e-01  5.92535593e-01  3.16854508e-01 
 8.05581857e-06 -0.00000000e+00  1.50000000e+00  9.09383937e-01  5.92540927e-01  3.16843010e-01 
 8.05582857e-06 -0.00000000e+00  1.50000000e+00  9.09381241e-01  5.92543261e-01  3.16837980e-01 
 8.05583314e-06 -0.00000000e+00  1.49314285e+00  9.09380007e-01  5.92544327e-01  3.16835680e-01 
 8.05584229e-06 -0.00000000e+00  1.47942856e+00  9.09377541e-01  5.92546461e-01  3.16831081e-01 
 8.05586057e-06 -0.00000000e+00  1.45199998e+00  9.09372611e-01  5.92550729e-01  3.16821882e-01 
 8.05587857e-06 -0.00000000e+00  1.42500000e+00  9.09367757e-01  5.92554931e-01  3.16812826e-01 
 8.05588223e-06  5.48571648e-03  1.41951428e+00  9.09366772e-01  5.92555785e-01  3.16810986e-01 
 8.05588954e-06  1.64571494e-02  1.40854285e+00  9.09364799e-01  5.92557493e-01  3.16807307e-01 
 8.05590417e-06  3.84000154e-02  1.38659998e+00  9.09360854e-01  5.92560907e-01  3.16799947e-01 
 8.05593343e-06  8.22857472e-02  1.34271425e+00  9.09352963e-01  5.92567737e-01  3.16785227e-01 
 8.05599194e-06  1.70057211e-01  1.25494279e+00  9.09337181e-01  5.92581396e-01  3.16755784e-01 
 8.05610897e-06  3.45600138e-01  1.07939986e+00  9.09305610e-01  5.92608720e-01  3.16696890e-01 
 8.05634303e-06  6.96685993e-01  7.28314007e-01  9.09242449e-01  5.92663382e-01  3.16579067e-01 
 8.05662670e-06  1.12218867e+00  3.02811331e-01  9.09165863e-01  5.92729657e-01  3.16436206e-01 
 8.05684844e-06  1.45480202e+00 -0.00000000e+00  9.09105969e-01  5.92781484e-01  3.16324485e-01 
 8.05700296e-06  1.50000000e+00 -0.00000000e+00  9.09064216e-01  5.92817608e-01  3.16246608e-01 
 8.05718524e-06  1.50000000e+00 -0.00000000e+00  9.09014948e-01  5.92860233e-01  3.16154716e-01 
 8.05735116e-06  1.50000000e+00 -0.00000000e+00  9.08970087e-01  5.92899045e-01  3.16071042e-01 
 8.05764033e-06  1.50000000e+00 -0.00000000e+00  9.08891875e-01  5.92966707e-01  3.15925168e-01 
 8.05802928e-06  1.50000000e+00 -0.00000000e+00  9.08786619e-01  5.93057775e-01  3.15728844e-01 
 8.05854170e-06  1.50000000e+00 -0.00000000e+00  9.08647880e-01  5.93177858e-01  3.15470022e-01 
 8.05932279e-06  1.50000000e+00 -0.00000000e+00  9.08436259e-01  5.93361167e-01  3.15075092e-01 
 8.06069722e-06  1.50000000e+00 -0.00000000e+00  9.08063419e-01  5.93684357e-01  3.14379062e-01 
 8.06251000e-06  1.50000000e+00 -0.00000000e+00  9.07570490e-01  5.94111525e-01  3.13458964e-01 
 8.06251100e-06  1.50000000e+00 -0.00000000e+00  9.07570217e-01  5.94111761e-01  3.13458456e-01 
 8.06251300e-06  1.50000000e+00 -0.00000000e+00  9.07569673e-01  5.94112233e-01  3.13457440e-01 
 8.06251700e-06  1.50000000e+00 -0.00000000e+00  9.07568584e-01  5.94113177e-01  3.13455407e-01 
 8.06252000e-06  1.50000000e+00 -0.00000000e+00  9.07567767e-01  5.94113885e-01  3.13453882e-01 
 8.06252080e-06  1.50000000e+00 -0.00000000e+00  9.07567549e-01  5.94114073e-01  3.13453476e-01 
 8.06252240e-06  1.50000000e+00 -0.00000000e+00  9.07567113e-01  5.94114451e-01  3.13452662e-01 
 8.06252560e-06  1.50000000e+00 -0.00000000e+00  9.07566242e-01  5.94115206e-01  3.13451036e-01 
 8.06253200e-06  1.50000000e+00 -0.00000000e+00  9.07564499e-01  5.94116716e-01  3.13447783e-01 
 8.06254480e-06  1.50000000e+00 -0.00000000e+00  9.07561014e-01  5.94119736e-01  3.13441278e-01 
 8.06257040e-06  1.50000000e+00 -0.00000000e+00  9.07554043e-01  5.94125776e-01  3.13428267e-01 
 8.06262160e-06  1.50000000e+00 -0.00000000e+00  9.07540100e-01  5.94137857e-01  3.13402243e-01 
 8.06272400e-06  1.50000000e+00 -0.00000000e+00  9.07512209e-01  5.94162019e-01  3.13350190e-01 
 8.06292880e-06  1.50000000e+00 -0.00000000e+00  9.07456413e-01  5.94210350e-01  3.13246063e-01 
 8.06333840e-06  1.50000000e+00 -0.00000000e+00  9.07344764e-01  5.94307042e-01  3.13037722e-01 
 8.06415760e-06  1.50000000e+00 -0.00000000e+00  9.07121268e-01  5.94500567e-01  3.12620701e-01 
 8.06436700e-06  1.50000000e+00 -0.00000000e+00  9.07064100e-01  5.94550068e-01  3.12514032e-01 
 8.06441700e-06  1.50000000e+00 -0.00000000e+00  9.07050446e-01  5.94561890e-01  3.12488556e-01 
 8.06443338e-06  1.50000000e+00 -0.00000000e+00  9.07045972e-01  5.94565764e-01  3.12480208e-01 
 8.06446615e-06  1.50000000e+00 -0.00000000e+00  9.07037024e-01  5.94573512e-01  3.12463512e-01 
 8.06453169e-06  1.50000000e+00 -0.00000000e+00  9.07019126e-01  5.94589009e-01  3.12430117e-01 
