time,vinp,vinn,voutp,voutn,vout
8.019414140000000719e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.189250930000000261e-01,5.843257969999999801e-01,3.345992959999999905e-01
8.019496059999999728e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.189040010000000258e-01,5.843438829999999529e-01,3.345601180000000174e-01
8.019659899999999439e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188618179999999969e-01,5.843800569999999528e-01,3.344817609999999886e-01
8.019664139999999573e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188607260000000165e-01,5.843809930000000152e-01,3.344797330000000013e-01
8.019672619999999841e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188585419999999448e-01,5.843828650000000291e-01,3.344756770000000268e-01
8.019689580000000377e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188541759999999670e-01,5.843866100000000285e-01,3.344675659999999939e-01
8.019714139999999683e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188478519999999650e-01,5.843920329999999774e-01,3.344558200000000148e-01
8.019717529999999486e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188469790000000081e-01,5.843927819999999995e-01,3.344541970000000086e-01
8.019724320000000612e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188452320000000118e-01,5.843942789999999610e-01,3.344509529999999953e-01
8.019737889999999650e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188417389999999907e-01,5.843972750000000493e-01,3.344444630000000251e-01
8.019765019999999597e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188347519999999768e-01,5.844032670000000040e-01,3.344314849999999728e-01
8.019814139999999902e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188221049999999446e-01,5.844141130000000128e-01,3.344079919999999873e-01
8.019819569999999483e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188207069999999588e-01,5.844153109999999929e-01,3.344053960000000214e-01
8.019830420000000513e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188179119999999589e-01,5.844177080000000357e-01,3.344002039999999787e-01
8.019852130000000703e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188123230000000419e-01,5.844225010000000387e-01,3.343898209999999760e-01
8.019864140000000012e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188092310000000040e-01,5.844251529999999750e-01,3.343840770000000018e-01
8.019868480000000085e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188081129999999819e-01,5.844261120000000531e-01,3.343820009999999843e-01
8.019877170000000056e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188058770000000486e-01,5.844280290000000155e-01,3.343778470000000058e-01
8.019894540000000173e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.188014049999999600e-01,5.844318640000000231e-01,3.343695409999999923e-01
8.019929270000000584e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.187924610000000047e-01,5.844395340000000383e-01,3.343529270000000220e-01
8.019998739999999535e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.187745739999999550e-01,5.844548739999999576e-01,3.343196999999999974e-01
8.020137669999999306e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.187387989999999949e-01,5.844855549999999900e-01,3.342532440000000049e-01
8.020415550000000192e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.186672420000000505e-01,5.845469210000000526e-01,3.341203209999999979e-01
8.020971290000000620e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.185241060000000068e-01,5.846696679999999757e-01,3.338544379999999756e-01
8.022082779999999608e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.182377330000000004e-01,5.849152340000000061e-01,3.333224989999999943e-01
8.024305759999999276e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.176645820000000064e-01,5.854067969999999788e-01,3.322577850000000277e-01
8.026795709999999854e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.170218900000000062e-01,5.859583569999999852e-01,3.310635319999999937e-01
8.026796709999999246e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.170216319999999754e-01,5.859585790000000349e-01,3.310630520000000243e-01
8.026798709999999725e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.170211150000000533e-01,5.859590230000000233e-01,3.310620919999999745e-01
8.026802710000000682e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.170200819999999586e-01,5.859599100000000282e-01,3.310601730000000131e-01
8.026805710000000553e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.170193070000000057e-01,5.859605749999999835e-01,3.310587329999999939e-01
8.026806510000000067e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.170191009999999476e-01,5.859607519999999736e-01,3.310583489999999740e-01
8.026808110000000789e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.170186869999999990e-01,5.859611070000000366e-01,3.310575809999999897e-01
8.026811310000000539e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.170178610000000452e-01,5.859618170000000514e-01,3.310560450000000210e-01
8.026817710000000038e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.170162080000000548e-01,5.859632359999999984e-01,3.310529729999999726e-01
8.026830510000000730e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.170129019999999631e-01,5.859660740000000034e-01,3.310468280000000152e-01
8.026856110000000420e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.170062909999999734e-01,5.859717509999999852e-01,3.310345399999999882e-01
8.026907309999999800e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.169930670000000505e-01,5.859831039999999769e-01,3.310099630000000182e-01
8.027009710000000255e-06,1.500000000000000000e+00,-0.000000000000000000e+00,9.169666180000000111e-01,5.860058129999999865e-01,3.309608059999999963e-01
