frequency,mag_dB,phase_deg
2.754228703338166184e+01,-5.000000000000019984e-01,-7.890284031988093610e-03
2.811900830398939632e+01,-4.999999999999988898e-01,-8.055502506194240145e-03
2.870780582024690730e+01,-4.999999999999998890e-01,-8.224180569966512561e-03
2.930893245250319978e+01,-5.000000000000008882e-01,-8.396390665325374758e-03
2.992264636608188866e+01,-4.999999999999998890e-01,-8.572206751189864402e-03
3.054921113215511852e+01,-4.999999999999998890e-01,-8.751704335140679872e-03
3.118889584093937017e+01,-5.000000000000008882e-01,-8.934960505848365403e-03
3.184197521726123981e+01,-4.999999999999998890e-01,-9.122053966180486070e-03
3.250872973854342263e+01,-4.999999999999968359e-01,-9.313065067002133587e-03
3.318944575526103336e+01,-4.999999999999998890e-01,-9.508075841684128157e-03
3.388441561392023971e+01,-4.999999999999978906e-01,-9.707170041333802041e-03
3.459393778261218699e+01,-5.000000000000019984e-01,-9.910433170763571428e-03
3.531831697919567858e+01,-4.999999999999998890e-01,-1.011795252521257953e-02
3.605786430216423355e+01,-4.999999999999998890e-01,-1.032981722783734256e-02
3.681289736425313208e+01,-4.999999999999998890e-01,-1.054611826798737204e-02
3.758374042884441479e+01,-4.999999999999998890e-01,-1.076694854028235372e-02
3.837072454922786591e+01,-4.999999999999998890e-01,-1.099240288450747255e-02
3.917418771077830542e+01,-4.999999999999988898e-01,-1.122257812634422369e-02
3.999447497610973556e+01,-4.999999999999978906e-01,-1.145757311895403974e-02
4.083193863326921047e+01,-4.999999999999998890e-01,-1.169748878543271781e-02
4.168693834703353218e+01,-5.000000000000019984e-01,-1.194242816215374328e-02
4.255984131337428522e+01,-4.999999999999988898e-01,-1.219249644301928330e-02
4.345102241715714086e+01,-4.999999999999998890e-01,-1.244780102463772728e-02
4.436086439314323115e+01,-4.999999999999998890e-01,-1.270845155244721553e-02
4.528975799036207661e+01,-4.999999999999998890e-01,-1.297455996780501677e-02
4.623810213992601348e+01,-4.999999999999998890e-01,-1.324624055606286356e-02
4.720630412635904349e+01,-4.999999999999998890e-01,-1.352360999564905866e-02
4.819477976251272366e+01,-4.999999999999998890e-01,-1.380678740817821784e-02
4.920395356814508858e+01,-4.999999999999998890e-01,-1.409589440961041620e-02
5.023425895223869020e+01,-4.999999999999998890e-01,-1.439105516248144652e-02
5.128613839913648320e+01,-4.999999999999998890e-01,-1.469239642922689354e-02
5.236004365857501597e+01,-5.000000000000008882e-01,-1.500004762662262257e-02
5.345643593969713692e+01,-5.000000000000008882e-01,-1.531414088136542548e-02
5.457578610912707973e+01,-4.999999999999998890e-01,-1.563481108681732956e-02
5.571857489319295098e+01,-4.999999999999988898e-01,-1.596219596093814350e-02
5.688529308438413068e+01,-5.000000000000008882e-01,-1.629643610543119250e-02
5.807644175213118132e+01,-5.000000000000019984e-01,-1.663767506612734773e-02
5.929253245799996819e+01,-5.000000000000008882e-01,-1.698605939463366035e-02
6.053408747539133117e+01,-4.999999999999998890e-01,-1.734173871127272365e-02
6.180164001384157046e+01,-4.999999999999998890e-01,-1.770486576934009529e-02
6.309573444801930009e+01,-4.999999999999998890e-01,-1.807559652070712258e-02
6.441692655151771874e+01,-4.999999999999998890e-01,-1.845409018279755078e-02
6.576578373554202983e+01,-4.999999999999998890e-01,-1.884050930696649223e-02
6.714288529259522420e+01,-4.999999999999998890e-01,-1.923501984831136463e-02
6.854882264526612801e+01,-4.999999999999998890e-01,-1.963779123694446224e-02
6.998419960022731345e+01,-4.999999999999978906e-01,-2.004899645075807271e-02
7.144963260755130818e+01,-4.999999999999998890e-01,-2.046881208971322585e-02
7.294575102545682910e+01,-4.999999999999978906e-01,-2.089741845168396200e-02
7.447319739059888377e+01,-4.999999999999998890e-01,-2.133499960988984728e-02
7.603262769401814580e+01,-4.999999999999998890e-01,-2.178174349194975101e-02
7.762471166286916002e+01,-4.999999999999998890e-01,-2.223784196059113913e-02
7.925013304804714664e+01,-4.999999999999978906e-01,-2.270349089604922072e-02
8.090958991783821830e+01,-4.999999999999998890e-01,-2.317889028019163786e-02
8.260379495771783809e+01,-4.999999999999998890e-01,-2.366424428240454861e-02
8.433347577642750537e+01,-4.999999999999998890e-01,-2.415976134727727473e-02
8.609937521846002539e+01,-4.999999999999988898e-01,-2.466565428412289054e-02
8.790225168308842285e+01,-4.999999999999998890e-01,-2.518214035837344072e-02
8.974287945007480971e+01,-4.999999999999998890e-01,-2.570944138488880440e-02
9.162204901219992337e+01,-5.000000000000008882e-01,-2.624778382321962464e-02
9.354056741475515935e+01,-4.999999999999978906e-01,-2.679739887486473626e-02
9.549925860214354145e+01,-4.999999999999998890e-01,-2.735852258256530126e-02
9.749896377173867279e+01,-4.999999999999998890e-01,-2.793139593167812129e-02
9.954054173515264381e+01,-5.000000000000019984e-01,-2.851626495367150238e-02
1.016248692870694867e+02,-4.999999999999998890e-01,-2.911338083178849692e-02
1.037528415818012633e+02,-4.999999999999998890e-01,-2.972300000892258431e-02
1.059253725177288601e+02,-4.999999999999998890e-01,-3.034538429775205520e-02
1.081433951297937597e+02,-5.000000000000008882e-01,-3.098080099318100897e-02
1.104078619902072518e+02,-4.999999999999978906e-01,-3.162952298713433974e-02
1.127197456175510411e+02,-4.999999999999998890e-01,-3.229182888575679589e-02
1.150800388944435610e+02,-4.999999999999998890e-01,-3.296800312906592728e-02
1.174897554939529272e+02,-5.000000000000019984e-01,-3.365833611311074697e-02
1.199499303149378164e+02,-5.000000000000008882e-01,-3.436312431468820788e-02
1.224616199265047669e+02,-4.999999999999988898e-01,-3.508267041867114272e-02
1.250259030217720095e+02,-4.999999999999998890e-01,-3.581728344800260561e-02
1.276438808811343506e+02,-4.999999999999998890e-01,-3.656727889641193940e-02
1.303166778452298615e+02,-4.999999999999998890e-01,-3.733297886391023779e-02
1.330454417978090191e+02,-4.999999999999998890e-01,-3.811471219512280878e-02
1.358313446587154090e+02,-4.999999999999998890e-01,-3.891281462051825873e-02
1.386755828871888241e+02,-5.000000000000019984e-01,-3.972762890059484270e-02
1.415793779957080858e+02,-4.999999999999998890e-01,-4.055950497308637159e-02
1.445439770745926467e+02,-5.000000000000008882e-01,-4.140880010325003607e-02
1.475706533275894685e+02,-5.000000000000008882e-01,-4.227587903730170571e-02
1.506607066186741690e+02,-4.999999999999998890e-01,-4.316111415906358911e-02
1.538154640303034171e+02,-4.999999999999978906e-01,-4.406488564989267942e-02
1.570362804333551594e+02,-4.999999999999998890e-01,-4.498758165195752834e-02
1.603245390690040040e+02,-4.999999999999998890e-01,-4.592959843493422262e-02
1.636816521427808198e+02,-4.999999999999998890e-01,-4.689134056619297108e-02
1.671090614310706997e+02,-4.999999999999988898e-01,-4.787322108454808434e-02
1.706082389003122728e+02,-4.999999999999998890e-01,-4.887566167764670344e-02
1.741806873391612669e+02,-4.999999999999988898e-01,-4.989909286307157160e-02
1.778279410038922776e+02,-5.000000000000008882e-01,-5.094395417323630687e-02
1.815515662773134977e+02,-4.999999999999998890e-01,-5.201069434415204334e-02
1.853531623414810099e+02,-4.999999999999998890e-01,-5.309977150814738922e-02
1.892343618644974015e+02,-4.999999999999998890e-01,-5.421165339062335164e-02
1.931968317016923891e+02,-4.999999999999998890e-01,-5.534681751092843105e-02
1.972422736114853308e+02,-5.000000000000019984e-01,-5.650575138744003828e-02
2.013724249862387410e+02,-5.000000000000008882e-01,-5.768895274694047642e-02
2.055890595984140248e+02,-5.000000000000008882e-01,-5.889692973837694356e-02
2.098939883623522178e+02,-4.999999999999988898e-01,-6.013020115109776048e-02
2.142890601120058705e+02,-4.999999999999988898e-01,-6.138929663765852612e-02
2.187761623949551790e+02,-4.999999999999998890e-01,-6.267475694129341635e-02
2.233572222830530336e+02,-4.999999999999998890e-01,-6.398713412815067170e-02
2.280342072000416351e+02,-5.000000000000008882e-01,-6.532699182438994612e-02
2.328091257665007845e+02,-5.000000000000008882e-01,-6.669490545824512118e-02
2.376840286624875773e+02,-4.999999999999968359e-01,-6.809146250715586435e-02
2.426610095082414205e+02,-4.999999999999998890e-01,-6.951726275007406863e-02
2.477422057633283714e+02,-4.999999999999998890e-01,-7.097291852505356602e-02
2.529297996446144623e+02,-4.999999999999998890e-01,-7.245905499223384560e-02
2.582260190634595460e+02,-4.999999999999998890e-01,-7.397631040233045019e-02
2.636331385825378675e+02,-5.000000000000008882e-01,-7.552533637074829165e-02
2.691534803926913924e+02,-4.999999999999998890e-01,-7.710679815743387566e-02
2.747894153102394625e+02,-4.999999999999998890e-01,-7.872137495258886564e-02
2.805433637951713308e+02,-4.999999999999978906e-01,-8.036976016836554215e-02
2.864177969906579619e+02,-5.000000000000029976e-01,-8.205266173667083440e-02
2.924152377843333852e+02,-4.999999999999998890e-01,-8.377080241320686294e-02
2.985382618917957416e+02,-4.999999999999998890e-01,-8.552492008787757061e-02
3.047894989627982909e+02,-5.000000000000019984e-01,-8.731576810169562608e-02
3.111716337106016681e+02,-4.999999999999998890e-01,-8.914411557032533850e-02
3.176874070649769237e+02,-4.999999999999998890e-01,-9.101074771440120781e-02
3.243396173493489982e+02,-5.000000000000008882e-01,-9.291646619676294239e-02
3.311311214825910838e+02,-4.999999999999998890e-01,-9.486208946675260545e-02
3.380648362059815213e+02,-4.999999999999998890e-01,-9.684845311172110560e-02
3.451437393358560826e+02,-5.000000000000008882e-01,-9.887641021589654855e-02
3.523708710424869537e+02,-4.999999999999988898e-01,-1.009468317267662174e-01
3.597493351557419032e+02,-4.999999999999988898e-01,-1.030606068291317623e-01
3.672823004980846235e+02,-4.999999999999998890e-01,-1.052186433269970273e-01
3.749730022454833716e+02,-5.000000000000008882e-01,-1.074218680334525361e-01
3.828247433168224347e+02,-4.999999999999998890e-01,-1.096712271687256268e-01
3.908408957924016818e+02,-4.999999999999978906e-01,-1.119676867665650305e-01
