 time            v(vind)         v(vout)         v(vinp)         v(vinn)         v(voutp)        v(voutn)       
 1.75280000e-04  1.78360769e-02  5.67211788e-01  9.08918038e-01  8.91081962e-01  1.17394585e+00  6.06734062e-01 
 1.76280000e-04  1.78925775e-02  5.68722153e-01  9.08946289e-01  8.91053711e-01  1.17472164e+00  6.05999490e-01 
 1.77280000e-04  1.79483718e-02  5.70210927e-01  9.08974186e-01  8.91025814e-01  1.17548629e+00  6.05275366e-01 
 1.78280000e-04  1.80034575e-02  5.71678150e-01  9.09001729e-01  8.90998271e-01  1.17623982e+00  6.04561673e-01 
 1.79280000e-04  1.80578324e-02  5.73123860e-01  9.09028916e-01  8.90971084e-01  1.17698225e+00  6.03858393e-01 
 1.80280000e-04  1.81114944e-02  5.74548096e-01  9.09055747e-01  8.90944253e-01  1.17771360e+00  6.03165508e-01 
 1.81280000e-04  1.81644415e-02  5.75950898e-01  9.09082221e-01  8.90917779e-01  1.17843390e+00  6.02483001e-01 
 1.82280000e-04  1.82166714e-02  5.77332306e-01  9.09108336e-01  8.90891664e-01  1.17914316e+00  6.01810854e-01 
 1.83280000e-04  1.82681822e-02  5.78692360e-01  9.09134091e-01  8.90865909e-01  1.17984141e+00  6.01149050e-01 
 1.84280000e-04  1.83189717e-02  5.80031100e-01  9.09159486e-01  8.90840514e-01  1.18052867e+00  6.00497569e-01 
 1.85280000e-04  1.83690381e-02  5.81348566e-01  9.09184519e-01  8.90815481e-01  1.18120496e+00  5.99856395e-01 
 1.86280000e-04  1.84183793e-02  5.82644800e-01  9.09209190e-01  8.90790810e-01  1.18187031e+00  5.99225509e-01 
 1.87280000e-04  1.84669933e-02  5.83919841e-01  9.09233497e-01  8.90766503e-01  1.18252473e+00  5.98604892e-01 
 1.88280000e-04  1.85148783e-02  5.85173730e-01  9.09257439e-01  8.90742561e-01  1.18316826e+00  5.97994528e-01 
 1.89280000e-04  1.85620324e-02  5.86406509e-01  9.09281016e-01  8.90718984e-01  1.18380091e+00  5.97394397e-01 
