 time            v(vin_tg)       v(vout_tg_on)   v(vout_tg_off) 
 1.55280000e-03  6.06869846e-01  6.06875626e-01  8.12280408e-01 
 1.56280000e-03  5.54018199e-01  5.54023166e-01  8.12280408e-01 
 1.57280000e-03  5.02531984e-01  5.02536339e-01  8.12280409e-01 
 1.58280000e-03  4.52614393e-01  4.52618265e-01  8.12280411e-01 
 1.59280000e-03  4.04462429e-01  4.04465902e-01  8.12280414e-01 
 1.60280000e-03  3.58266125e-01  3.58269257e-01  8.12280419e-01 
 1.61280000e-03  3.14207797e-01  3.14210630e-01  8.12280428e-01 
 1.62280000e-03  2.72461324e-01  2.72463887e-01  8.12280442e-01 
 1.63280000e-03  2.33191459e-01  2.33193774e-01  8.12280461e-01 
 1.64280000e-03  1.96553183e-01  1.96555266e-01  8.12280487e-01 
 1.65280000e-03  1.62691090e-01  1.62692954e-01  8.12280518e-01 
 1.66280000e-03  1.31738818e-01  1.31740473e-01  8.12280550e-01 
 1.67280000e-03  1.03818522e-01  1.03819975e-01  8.12280571e-01 
 1.68280000e-03  7.90403910e-02  7.90416473e-02  8.12280555e-01 
 1.69280000e-03  5.75022123e-02  5.75032759e-02  8.12280455e-01 
 1.70280000e-03  3.92889875e-02  3.92898616e-02  8.12280202e-01 
 1.71280000e-03  2.44725958e-02  2.44732826e-02  8.12279715e-01 
 1.72280000e-03  1.31115109e-02  1.31120120e-02  8.12278926e-01 
 1.73280000e-03  5.25056955e-03  5.25088627e-03  8.12277819e-01 
 1.74280000e-03  9.20795471e-04  9.20928407e-04  8.12276452e-01 
 1.75280000e-03  1.39276265e-04  1.39225686e-04  8.12274957e-01 
 1.76280000e-03  2.90909623e-03  2.90886201e-03  8.12273501e-01 
 1.77280000e-03  9.21932415e-03  9.21890577e-03  8.12272233e-01 
 1.78280000e-03  1.90450564e-02  1.90444530e-02  8.12271238e-01 
 1.79280000e-03  3.23475154e-02  3.23467254e-02  8.12270527e-01 
 1.80280000e-03  4.90742024e-02  4.90732237e-02  8.12270058e-01 
 1.81280000e-03  6.91591047e-02  6.91579347e-02  8.12269765e-01 
 1.82280000e-03  9.25229564e-02  9.25215915e-02  8.12269586e-01 
 1.83280000e-03  1.19073551e-01  1.19071986e-01  8.12269475e-01 
 1.84280000e-03  1.48706106e-01  1.48704335e-01  8.12269402e-01 
 1.85280000e-03  1.81303674e-01  1.81301689e-01  8.12269352e-01 
 1.86280000e-03  2.16737609e-01  2.16735398e-01  8.12269316e-01 
 1.87280000e-03  2.54868068e-01  2.54865617e-01  8.12269290e-01 
 1.88280000e-03  2.95544568e-01  2.95541858e-01  8.12269272e-01 
 1.89280000e-03  3.38606577e-01  3.38603582e-01  8.12269259e-01 
 1.90280000e-03  3.83884150e-01  3.83880833e-01  8.12269250e-01 
 1.91280000e-03  4.31198596e-01  4.31194908e-01  8.12269244e-01 
 1.92280000e-03  4.80363188e-01  4.80359057e-01  8.12269240e-01 
 1.93280000e-03  5.31183894e-01  5.31179215e-01  8.12269237e-01 
 1.94280000e-03  5.83460148e-01  5.83454757e-01  8.12269235e-01 
 1.95280000e-03  6.36985641e-01  6.36979270e-01  8.12269234e-01 
 1.96280000e-03  6.91549132e-01  6.91541312e-01  8.12269232e-01 
 1.97280000e-03  7.46935282e-01  7.46925129e-01  8.12269231e-01 
 1.98280000e-03  8.02925510e-01  8.02911273e-01  8.12269230e-01 
 1.99280000e-03  8.59298845e-01  8.59277495e-01  8.12269229e-01 
 2.00280000e-03  9.15832810e-01  9.15803330e-01  8.12269228e-01 
 2.01280000e-03  9.72304290e-01  9.72275565e-01  8.12269227e-01 
 2.02280000e-03  1.02849042e+00  1.02846912e+00  8.12269225e-01 
 2.03280000e-03  1.08416945e+00  1.08415413e+00  8.12269223e-01 
 2.04280000e-03  1.13912166e+00  1.13911002e+00  8.12269220e-01 
 2.05280000e-03  1.19313015e+00  1.19312084e+00  8.12269214e-01 
 2.06280000e-03  1.24598180e+00  1.24597406e+00  8.12269206e-01 
 2.07280000e-03  1.29746802e+00  1.29746141e+00  8.12269192e-01 
 2.08280000e-03  1.34738561e+00  1.34737986e+00  8.12269169e-01 
 2.09280000e-03  1.39553757e+00  1.39553251e+00  8.12269133e-01 
 2.10280000e-03  1.44173388e+00  1.44172938e+00  8.12269079e-01 
 2.11280000e-03  1.48579220e+00  1.48578819e+00  8.12269000e-01 
 2.12280000e-03  1.52753868e+00  1.52753509e+00  8.12268906e-01 
 2.13280000e-03  1.56680854e+00  1.56680533e+00  8.12268869e-01 
 2.14280000e-03  1.60344682e+00  1.60344395e+00  8.12269203e-01 
 2.15280000e-03  1.63730891e+00  1.63730636e+00  8.12271009e-01 
 2.16280000e-03  1.66826118e+00  1.66825893e+00  8.12277619e-01 
